listifile;yeari;monthi;dayi;HHMMi;yearf;monthf;dayf;HHMMf;e[0.7-1.4];e[0.7-1.4]err;e[1.4-2.8];e[1.4-2.8]err;e[2.8-4.0];e[2.8-4.0]err;p[13.6-15.1];p[13.6-15.1]err;p[14.9-17.1];p[14.9-17.1]err;p[17.1-20.8];p[17.1-20.8]err;p[20.8-23.8];p[20.8-23.8]err;p[23.8-26.4];p[23.8-26.4]err;p[26.3-29.7];p[26.3-29.7]err;p[29.5-33.4];p[29.5-33.4]err;p[33.4-35.8];p[33.4-35.8]err;p[35.5-40.5];p[35.5-40.5]err;p[40-60];p[40-60]err;p[60-100];p[60-100]err
0;2024;May;1;0000;2024;May;1;0015;0.0131;0.00606;0.0196;0.00524;0.0137;0.00473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000183;0.000134;0.000183;9.48e-005
0;2024;May;1;0015;2024;May;1;0030;0.0105;0.00542;0.0105;0.00383;0.00763;0.00353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.15e-005;9.47e-005;0.000138;8.22e-005
0;2024;May;1;0030;2024;May;1;0045;0.0157;0.00663;0.0144;0.00449;0.00763;0.00353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.15e-005;9.47e-005;9.15e-005;6.7e-005
0;2024;May;1;0045;2024;May;1;0100;0.0183;0.00717;0.0118;0.00406;0.00611;0.00316;0.0012;0.00125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000275;0.000164;0.000275;0.000116
0;2024;May;1;0100;2024;May;1;0115;0.0288;0.00899;0.0118;0.00406;0.0107;0.00418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000183;9.49e-005
0;2024;May;1;0115;2024;May;1;0130;0.0105;0.00541;0.00654;0.00303;0.0107;0.00418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000275;0.000116
0;2024;May;1;0130;2024;May;1;0145;0.021;0.00767;0.00261;0.00191;0.0061;0.00316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000775;0.000802;0;0;0.000183;0.000134;9.16e-005;6.7e-005
0;2024;May;1;0145;2024;May;1;0200;0.0131;0.00606;0.0131;0.00428;0.0153;0.005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.15e-005;9.47e-005;0;0
0;2024;May;1;0200;2024;May;1;0215;0.0209;0.00767;0.00917;0.00359;0.00611;0.00316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00032;0.000125
0;2024;May;1;0215;2024;May;1;0230;0.0157;0.00664;0.017;0.00488;0.0122;0.00447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000366;0.000134
0;2024;May;1;0230;2024;May;1;0245;0.0183;0.00716;0.0105;0.00383;0.0122;0.00447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000183;9.47e-005
0;2024;May;1;0245;2024;May;1;0300;0.0183;0.00716;0.0105;0.00383;0.0107;0.00418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000229;0.000106
